hex,nacetyl,deoxyhexose,sialicacid,sulphate,amino,omethyl,oacetyl,pent,phosphate,glyconnect_id,glytoucan_id,mass
1,1,0,0,0,0,0,0,0,1,776,G28916LJ,301.0563
11,2,0,0,0,0,0,0,0,0,649,G70101JE,1882.6446
10,6,0,5,0,0,0,0,0,0,275,G70422GF,3340.1752
8,5,0,4,0,0,0,0,0,0,633,G62402DP,2683.9476
8,5,0,5,0,0,0,0,0,0,408,G08486KQ,2975.043
6,4,0,3,0,0,0,0,0,0,602,G08486KQ,2027.72
6,4,0,4,0,0,0,0,0,0,744,G08486KQ,2318.8154
10,0,0,0,0,0,0,0,0,2,1374,G08486KQ,1798.4712
4,0,0,0,0,0,0,0,0,0,132,G69791DF,666.2218
6,0,0,0,0,0,0,0,0,2,1376,G69791DF,1150.26
6,0,0,0,0,0,0,0,0,0,184,G19275UG,990.3274
7,0,0,0,0,0,0,0,0,2,1377,G19275UG,1312.3128
8,0,0,0,0,0,0,0,0,2,1378,G19275UG,1474.3656
1,0,0,0,0,0,0,0,0,1,780,G19275UG,260.0297
5,0,0,0,0,0,0,0,0,2,1379,G19275UG,988.2072
11,0,0,0,0,0,0,0,0,2,1386,G19275UG,1960.524
5,0,0,0,0,0,0,0,0,0,732,G12733WO,828.2746
9,0,0,0,0,0,0,0,0,2,1373,G12733WO,1636.4184
12,0,0,0,0,0,0,0,0,2,1372,G12733WO,2122.5768
2,0,0,1,0,0,0,0,0,0,255,G17756LB,633.2116
1,0,0,1,0,0,0,0,1,0,556,G17756LB,603.2011
14,7,4,0,0,0,0,0,0,0,429,G16136DL,3158.1676
128,65,31,0,60,0,0,0,0,0,903,G16136DL,32752.7009
1,0,0,0,0,1,0,0,0,0,642,G16136DL,194.0427
0,0,0,0,0,0,0,0,1,0,52,G04045FF,150.0529
4,1,1,0,0,0,0,0,0,0,569,G05897GU,853.3063
2,0,0,0,0,1,0,0,0,0,640,G05897GU,356.0955
4,2,1,0,0,0,0,0,1,0,1,G05897GU,1026.3752
3,2,1,0,0,0,0,0,1,0,464,G05897GU,864.3224
3,2,0,0,0,0,0,0,1,0,704,G05897GU,718.2645
5,2,1,0,0,0,0,0,1,0,457,G05897GU,1188.428
7,3,2,0,0,0,0,0,1,0,451,G05897GU,1699.6181
9,4,3,0,0,0,0,0,1,0,531,G05897GU,2210.8082
9,6,2,0,0,0,0,0,0,0,688,G82592ZH,2014.7612
5,2,0,0,0,0,0,0,1,0,142,G82592ZH,1042.3701
6,3,1,0,0,0,0,0,1,0,74,G82592ZH,1391.5074
4,2,0,0,0,0,0,0,1,0,225,G82592ZH,880.3173
8,3,0,0,0,0,0,0,1,0,710,G82592ZH,1569.5551
6,3,0,0,0,0,0,0,1,0,358,G82592ZH,1245.4495
7,3,0,0,0,0,0,0,1,0,159,G82592ZH,1407.5023
7,2,0,0,0,0,0,0,0,0,11,G06110VR,1234.4334
8,2,0,0,0,0,0,0,0,0,603,G39188ZX,1396.4862
9,2,0,0,0,0,0,0,0,0,695,G05724UK,1558.539
7,4,0,0,0,0,0,0,1,0,139,G05724UK,1448.5289
12,2,0,0,0,0,0,0,0,0,653,G05724UK,2044.6974
10,2,0,0,0,0,0,0,0,0,691,G64527OM,1720.5918
9,5,0,1,0,0,0,0,0,0,170,G24835MQ,1972.7142
9,3,0,1,0,0,0,0,0,0,89,G23294PN,1890.661
7,4,0,1,0,0,0,0,0,0,64,G23294PN,1607.582
9,5,1,1,0,0,0,0,0,0,489,G72667IM,2118.7721
8,3,0,1,0,0,0,0,0,0,628,G82463GQ,1728.6082
9,6,0,1,0,0,0,0,0,0,666,G92654OJ,2013.7408
9,6,2,1,0,0,0,0,0,0,232,G02628JF,2305.8566
9,5,1,2,0,0,0,0,0,0,181,G81198YO,2409.8675
9,5,2,1,0,0,0,0,0,0,466,G95977AE,2264.83
9,6,1,1,0,0,0,0,0,0,368,G08110WX,2159.7987
13,7,1,0,0,0,0,0,0,0,300,G25379SA,2557.9411
13,8,1,0,0,0,0,0,0,0,338,G86234IN,2598.9677
10,7,1,0,0,0,0,0,0,0,716,G32332VU,2071.7827
11,7,1,0,0,0,0,0,0,0,206,G93683YO,2233.8355
9,5,0,0,0,0,0,0,0,0,318,G23432EQ,1681.6188
11,6,1,0,0,0,0,0,0,0,250,G89098OM,2192.8089
13,9,1,0,0,0,0,0,0,0,348,G52358QA,2639.9943
11,8,1,0,0,0,0,0,0,0,718,G96416FQ,2274.8621
10,6,1,0,0,0,0,0,0,0,303,G51640FO,2030.7561
9,5,1,0,0,0,0,0,0,0,637,G03382KH,1827.6767
12,6,3,3,0,0,0,0,0,0,149,G35107SO,3520.2637
13,6,1,4,0,0,0,0,0,0,271,G69834CE,3681.2961
11,5,0,2,0,0,0,0,0,0,427,G52527GH,2587.9152
13,6,0,4,0,0,0,0,0,0,40,G66088HZ,3535.2382
9,6,1,0,2,0,0,0,0,0,30,G87932HN,2028.6169
9,6,0,0,2,0,0,0,0,0,246,G57196QI,1882.559
9,4,2,0,0,0,0,0,0,0,353,G44215PV,1932.708
9,4,2,1,0,0,0,0,0,0,186,G75983OB,2223.8034
8,4,2,0,0,0,0,0,1,0,647,G75983OB,1902.6975
7,4,1,0,0,0,0,0,1,0,459,G75983OB,1594.5868
4,1,0,0,0,0,0,0,1,0,77,G75983OB,839.2907
5,1,1,0,0,0,0,0,1,0,165,G75983OB,1147.4014
11,5,0,1,0,0,0,0,0,0,122,G59536GA,2296.8198
11,5,0,4,0,0,0,0,0,0,428,G66951WQ,3170.106
8,4,1,0,0,0,0,0,1,0,6,G66951WQ,1756.6396
8,4,1,0,0,0,1,0,1,0,816,G66951WQ,1770.6553
11,6,0,0,0,0,2,0,1,0,836,G66951WQ,2206.8247
