id	glytoucan_id	format_glyconnect	format_numeric	format_condensed	format_byonic	mass_monoisotopic	reviewed
46	G49874UX	Hex:1 HexNAc:3 dHex:4 Kdn:1	1,3,4,0,0,0,0,0,1,0,0,0,0,0	H1N3F4K1	HexNAc(3)Hex(1)dHex(4)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	1623.6021	True
413	G49874UX	Hex:1 HexNAc:2 dHex:4 Kdn:1	1,2,4,0,0,0,0,0,1,0,0,0,0,0	H1N2F4K1	HexNAc(2)Hex(1)dHex(4)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	1420.5227	True
593	G49874UX	Hex:2 HexNAc:2 dHex:4 Kdn:1	2,2,4,0,0,0,0,0,1,0,0,0,0,0	H2N2F4K1	HexNAc(2)Hex(2)dHex(4)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	1582.5755	True
402	G49874UX	HexNAc:3 dHex:3 Kdn:1	0,3,3,0,0,0,0,0,1,0,0,0,0,0	N3F3K1	HexNAc(3)dHex(3)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	1315.4914	True
47	G49874UX	Hex:1 HexNAc:3 dHex:2 Kdn:1	1,3,2,0,0,0,0,0,1,0,0,0,0,0	H1N3F2K1	HexNAc(3)Hex(1)dHex(2)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	1331.4863	True
423	G49874UX	HexNAc:2 dHex:2 Kdn:1	0,2,2,0,0,0,0,0,1,0,0,0,0,0	N2F2K1	HexNAc(2)dHex(2)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	966.3541	True
638	G49874UX	Hex:2 HexNAc:1 dHex:2 NeuAc:1	2,1,2,1,0,0,0,0,0,0,0,0,0,0	H2N1F2S1	HexNAc(1)Hex(2)dHex(2)NeuAc(1)	1128.4068	True
469	G49874UX	Hex:1 HexNAc:3 dHex:1 NeuGc:1	1,3,1,0,1,0,0,0,0,0,0,0,0,0	H1N3F1G1	HexNAc(3)Hex(1)dHex(1)NeuGc(1)	1242.4498	True
90	G49874UX	Hex:1 HexNAc:2 dHex:2 NeuGc:1	1,2,2,0,1,0,0,0,0,0,0,0,0,0	H1N2F2G1	HexNAc(2)Hex(1)dHex(2)NeuGc(1)	1185.4283	True
270	G49874UX	Hex:1 HexNAc:2 dHex:2 NeuAc:1	1,2,2,1,0,0,0,0,0,0,0,0,0,0	H1N2F2S1	HexNAc(2)Hex(1)dHex(2)NeuAc(1)	1169.4334	True
654	G49874UX	HexNAc:2 NeuAc:1	0,2,0,1,0,0,0,0,0,0,0,0,0,0	N2S1	HexNAc(2)NeuAc(1)	715.2648	True
679	G49874UX	Hex:1 HexNAc:3 dHex:1 NeuAc:1	1,3,1,1,0,0,0,0,0,0,0,0,0,0	H1N3F1S1	HexNAc(3)Hex(1)dHex(1)NeuAc(1)	1226.4549	True
803	G49874UX	Hex:3 HexNAc:1 Me:1	3,1,0,0,0,0,0,0,0,0,0,1,0,0	H3N1m1	HexNAc(1)Hex(3)Me(1) % this composition contains Me (not defined residue for Byonic)	721.2641	True
228	G49874UX	Hex:1	1,0,0,0,0,0,0,0,0,0,0,0,0,0	H1	Hex(1)	180.0634	True
795	G49874UX	Hex:2 HexNAc:1 Me:1	2,1,0,0,0,0,0,0,0,0,0,1,0,0	H2N1m1	HexNAc(1)Hex(2)Me(1) % this composition contains Me (not defined residue for Byonic)	559.2113	True
136	G07133YY	Hex:2	2,0,0,0,0,0,0,0,0,0,0,0,0,0	H2	Hex(2)	342.1162	True
212	G82930TB	Hex:3 HexNAc:1	3,1,0,0,0,0,0,0,0,0,0,0,0,0	H3N1	HexNAc(1)Hex(3)	707.2484	True
699	G46831QF	Hex:2 HexNAc:1	2,1,0,0,0,0,0,0,0,0,0,0,0,0	H2N1	HexNAc(1)Hex(2)	545.1956	True
340	G46831QF	Hex:1 HexNAc:2 NeuAc:2	1,2,0,2,0,0,0,0,0,0,0,0,0,0	H1N2S2	HexNAc(2)Hex(1)NeuAc(2)	1168.413	True
494	G46831QF	Hex:2 HexNAc:2 dHex:1 NeuAc:2	2,2,1,2,0,0,0,0,0,0,0,0,0,0	H2N2F1S2	HexNAc(2)Hex(2)dHex(1)NeuAc(2)	1476.5237	True
578	G46831QF	Hex:2 HexNAc:3 dHex:1 Su:1	2,3,1,0,0,0,1,0,0,0,0,0,0,0	H2N3F1s1	HexNAc(3)Hex(2)dHex(1)Sulfo(1)	1177.3691	True
67	G46831QF	Hex:2 HexNAc:2 dHex:1 NeuAc:1 Su:1	2,2,1,1,0,0,1,0,0,0,0,0,0,0	H2N2F1S1s1	HexNAc(2)Hex(2)dHex(1)NeuAc(1)Sulfo(1)	1265.3851	True
88	G60038ZA	Hex:2 HexNAc:2 NeuAc:2 Su:1	2,2,0,2,0,0,1,0,0,0,0,0,0,0	H2N2S2s1	HexNAc(2)Hex(2)NeuAc(2)Sulfo(1)	1410.4226	True
317	G60038ZA	Hex:2 HexNAc:2 NeuAc:1 Su:1	2,2,0,1,0,0,1,0,0,0,0,0,0,0	H2N2S1s1	HexNAc(2)Hex(2)NeuAc(1)Sulfo(1)	1119.3272	True
750	G60038ZA	Hex:1 HexNAc:2 NeuAc:1 Su:1	1,2,0,1,0,0,1,0,0,0,0,0,0,0	H1N2S1s1	HexNAc(2)Hex(1)NeuAc(1)Sulfo(1)	957.2744	True
335	G60038ZA	Hex:2 HexNAc:2 dHex:1 NeuAc:2 Su:1	2,2,1,2,0,0,1,0,0,0,0,0,0,0	H2N2F1S2s1	HexNAc(2)Hex(2)dHex(1)NeuAc(2)Sulfo(1)	1556.4805	True
613	G60038ZA	Hex:2 HexNAc:2 dHex:2 NeuAc:1 Su:1	2,2,2,1,0,0,1,0,0,0,0,0,0,0	H2N2F2S1s1	HexNAc(2)Hex(2)dHex(2)NeuAc(1)Sulfo(1)	1411.443	True
